"Temperature Date","Temperature Value"
"1000-01-01",0.07
"1001-01-01",-0.01
"1002-01-01",-0.01
"1003-01-01",0.03
"1004-01-01",-0.04
"1005-01-01",-0.15
"1006-01-01",-0.02
"1007-01-01",0.2
"1008-01-01",0.19
"1009-01-01",0.08
"1010-01-01",0.07
"1011-01-01",0.11
"1012-01-01",0.1
"1013-01-01",0.02
"1014-01-01",0.02
"1015-01-01",0.19
"1016-01-01",0.37
"1017-01-01",0.4
"1018-01-01",0.29
"1019-01-01",0.21
"1020-01-01",0.17
"1021-01-01",0.04
"1022-01-01",0.02
"1023-01-01",0.18
"1024-01-01",0.21
"1025-01-01",0.07
"1026-01-01",0.01
"1027-01-01",0.1
"1028-01-01",0.18
"1029-01-01",0.19
"1030-01-01",0.2
"1031-01-01",0.16
"1032-01-01",0.05
"1033-01-01",-0.03
"1034-01-01",-0.06
"1035-01-01",-0.1
"1036-01-01",-0.07
"1037-01-01",0.02
"1038-01-01",0.06
"1039-01-01",0.06
"1040-01-01",0.11
"1041-01-01",0.18
"1042-01-01",0.08
"1043-01-01",-0.13
"1044-01-01",-0.18
"1045-01-01",-0.06
"1046-01-01",0.03
"1047-01-01",-0.06
"1048-01-01",-0.24
"1049-01-01",-0.22
"1050-01-01",-0.08
"1051-01-01",-0.03
"1052-01-01",-0.07
"1053-01-01",-0.1
"1054-01-01",-0.12
"1055-01-01",-0.18
"1056-01-01",-0.15
"1057-01-01",-0.08
"1058-01-01",-0.1
"1059-01-01",-0.1
"1060-01-01",0.08
"1061-01-01",0.23
"1062-01-01",0.1
"1063-01-01",-0.03
"1064-01-01",0.09
"1065-01-01",0.17
"1066-01-01",-0.02
"1067-01-01",-0.24
"1068-01-01",-0.3
"1069-01-01",-0.32
"1070-01-01",-0.31
"1071-01-01",-0.22
"1072-01-01",-0.16
"1073-01-01",-0.17
"1074-01-01",-0.14
"1075-01-01",-0.06
"1076-01-01",-0.05
"1077-01-01",-0.11
"1078-01-01",-0.13
"1079-01-01",-0.02
"1080-01-01",0.09
"1081-01-01",0.14
"1082-01-01",0.12
"1083-01-01",0.07
"1084-01-01",0.09
"1085-01-01",0.14
"1086-01-01",0.21
"1087-01-01",0.23
"1088-01-01",0.18
"1089-01-01",0.16
"1090-01-01",0.23
"1091-01-01",0.28
"1092-01-01",0.21
"1093-01-01",0.1
"1094-01-01",0.08
"1095-01-01",0.06
"1096-01-01",0
"1097-01-01",-0.14
"1098-01-01",-0.24
"1099-01-01",-0.08
"1100-01-01",0.06
"1101-01-01",0.02
"1102-01-01",-0.1
"1103-01-01",-0.11
"1104-01-01",0.19
"1105-01-01",0.47
"1106-01-01",0.43
"1107-01-01",0.22
"1108-01-01",0.12
"1109-01-01",0.14
"1110-01-01",0.14
"1111-01-01",0.17
"1112-01-01",0.19
"1113-01-01",0.13
"1114-01-01",0.14
"1115-01-01",0.24
"1116-01-01",0.27
"1117-01-01",0.21
"1118-01-01",0.15
"1119-01-01",0.13
"1120-01-01",0.05
"1121-01-01",-0.04
"1122-01-01",-0.05
"1123-01-01",-0.08
"1124-01-01",-0.07
"1125-01-01",-0.09
"1126-01-01",-0.26
"1127-01-01",-0.31
"1128-01-01",-0.14
"1129-01-01",0
"1130-01-01",0.06
"1131-01-01",0.02
"1132-01-01",-0.18
"1133-01-01",-0.33
"1134-01-01",-0.24
"1135-01-01",-0.11
"1136-01-01",-0.05
"1137-01-01",0
"1138-01-01",-0.04
"1139-01-01",-0.14
"1140-01-01",-0.16
"1141-01-01",-0.11
"1142-01-01",-0.02
"1143-01-01",0.1
"1144-01-01",0.15
"1145-01-01",0.06
"1146-01-01",-0.04
"1147-01-01",-0.11
"1148-01-01",-0.12
"1149-01-01",-0.13
"1150-01-01",-0.27
"1151-01-01",-0.34
