Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Denmark,East Denmark,DK-DK2,87.06,174.28,88.05,71.51,entsoe.eu,false,
2021-01-01 01:00:00,Denmark,East Denmark,DK-DK2,80.79,169.6,88.8,72.12,entsoe.eu,false,
2021-01-01 02:00:00,Denmark,East Denmark,DK-DK2,80.99,171.4,88.85,71.9,entsoe.eu,false,
2021-01-01 03:00:00,Denmark,East Denmark,DK-DK2,86.46,179.59,88.12,70.97,entsoe.eu,false,
2021-01-01 04:00:00,Denmark,East Denmark,DK-DK2,98.61,193.33,86.67,69.92,entsoe.eu,false,
2021-01-01 05:00:00,Denmark,East Denmark,DK-DK2,103.21,200.88,86.04,69.43,entsoe.eu,false,
2021-01-01 06:00:00,Denmark,East Denmark,DK-DK2,103.45,202.29,86.03,68.76,entsoe.eu,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Denmark,East Denmark,DK-DK2,105.29,205.93,85.82,69.08,entsoe.eu,false,
2021-01-01 08:00:00,Denmark,East Denmark,DK-DK2,107.06,201.22,85.61,68.12,entsoe.eu,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Denmark,East Denmark,DK-DK2,115.67,213.78,84.48,68.74,entsoe.eu,false,
2021-01-01 10:00:00,Denmark,East Denmark,DK-DK2,113.02,206.59,84.74,69.1,entsoe.eu,false,
2021-01-01 11:00:00,Denmark,East Denmark,DK-DK2,110.77,201.57,83.92,67.69,entsoe.eu,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Denmark,East Denmark,DK-DK2,109.24,204.74,83.9,67.49,entsoe.eu,true,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Denmark,East Denmark,DK-DK2,111.52,208.59,83.28,67.26,entsoe.eu,false,
2021-01-01 14:00:00,Denmark,East Denmark,DK-DK2,113.85,214.82,82.97,67.83,entsoe.eu,false,
2021-01-01 15:00:00,Denmark,East Denmark,DK-DK2,122.0,225.78,81.53,66.93,entsoe.eu,false,
2021-01-01 16:00:00,Denmark,East Denmark,DK-DK2,124.6,228.02,81.12,66.77,entsoe.eu,false,
2021-01-01 17:00:00,Denmark,East Denmark,DK-DK2,122.53,228.98,81.64,67.58,entsoe.eu,false,
2021-01-01 18:00:00,Denmark,East Denmark,DK-DK2,123.36,228.89,81.51,66.73,entsoe.eu,false,
2021-01-01 19:00:00,Denmark,East Denmark,DK-DK2,124.8,226.97,80.71,65.44,entsoe.eu,false,
